timestamp,numberOfRecipients,numberOfCCs,numberOfBCCs,recipientType,lengthOfThread,responseTime,titleContent,messageContent,recipientRoleLevel,employeeID
2024-11-07 09:15:23,3,0,0,internal,1,45,"Project Update: Q4 Deliverables","Please see the attached update on our Q4 deliverables. Let me know if there are any changes needed.",Mid-Level,HT234
2024-11-07 10:02:10,1,1,0,external,3,90,"Partnership Inquiry","Hi there, we are excited about the potential collaboration. Can we schedule a meeting next week to discuss the details?",Senior,HT129
2024-11-07 10:45:55,5,2,0,internal,5,30,"New Feature Launch Review","Hello team, please review the new feature specs before our meeting this afternoon. Feedback is welcome.",Manager,HT154
2024-11-07 11:22:37,8,3,1,internal,10,15,"Urgent: Bug Report","A critical bug has been reported by the client. Please prioritize and provide a status update ASAP.",Mid-Level,HT278
2024-11-07 12:30:12,2,0,0,internal,2,180,"Lunch Break Reminder","Just a reminder to take your lunch break! Stay healthy and energized. :)",Entry-Level,HT345
2024-11-07 13:14:18,10,1,0,internal,4,25,"Team Outing Feedback","Hope everyone had a great time at the team outing yesterday! Please share your feedback on the event.",Senior,HT198
2024-11-07 14:10:33,1,0,0,internal,2,50,"Follow-up on Code Review","Could someone please update me on the status of the code review request I sent earlier?",Mid-Level,HT245
2024-11-07 14:50:33,1,0,1,external,1,120,"Follow-up: Service Inquiry","Hi, just following up on the service inquiry you made last week. Do you need additional assistance?",Entry-Level,HT376
2024-11-07 15:35:20,4,0,0,internal,7,10,"Code Review Request","The code for the new payment integration is ready for review. Looking forward to your feedback.",Mid-Level,HT245
2024-11-07 16:25:44,3,2,0,internal,6,60,"Budget Approval Needed","The final budget for the new project has been prepared. Please review and approve.",Senior,HT199
2024-11-07 17:10:09,2,0,0,internal,1,0,"Reminder: Submit Timesheets","Please remember to submit your timesheets before the end of the day today.",Entry-Level,HT388
2024-11-08 08:15:30,5,1,0,internal,3,50,"Good Morning! Team Check-in","Good morning, everyone! Let’s have a quick check-in to align on today’s tasks.",Mid-Level,HT263
2024-11-08 08:45:12,3,0,0,internal,4,10,"Quick Status Update","Just a quick reminder about the sprint progress. We are on track, but let’s push to finalize the remaining tasks.",Mid-Level,HT234
2024-11-08 09:45:50,1,1,0,external,4,200,"Feedback on Proposal","Thank you for your proposal. We have a few points we would like to discuss in further detail.",Senior,HT118
2024-11-08 10:20:05,5,0,0,internal,1,0,"Last Call: Sprint Planning","Reminder: Our sprint planning session is in 30 minutes. Be sure to have your notes ready.",Manager,HT154
