timestamp,numberOfRecipients,numberOfCCs,numberOfBCCs,recipientType,lengthOfThread,responseTime,titleContent,messageContent,recipientRoleLevel,employeeID
2024-11-09 08:15:23,2,1,0,internal,1,0,"Kickoff Meeting Reminder","Just a reminder that our project kickoff meeting will start in 15 minutes. Please make sure to join on time and have your materials ready.",mid-level,E001
2024-11-09 09:05:45,1,0,0,external,1,0,"Follow-up on Contract","Hi Anna, I just wanted to follow up on the contract we discussed yesterday. Can you confirm if it's been signed?",manager,E005
2024-11-09 09:12:10,3,1,0,internal,3,7,"Urgent: System Outage","We are experiencing a system outage affecting the internal CRM. The tech team is looking into it. Please refrain from making any changes until further notice.",senior,E002
2024-11-09 09:30:47,5,0,2,external,2,18,"Upcoming Workshop Details","Dear team, Attached you will find the agenda for next week's workshop. Please review the document and provide your feedback by the end of the week.",junior,E007
2024-11-09 10:22:19,1,0,0,internal,2,52,"Project Status Update","The client has requested additional features for the software. Let's discuss how we can incorporate these into the timeline without causing delays.",mid-level,E004
2024-11-09 10:45:33,4,2,0,internal,1,0,"Team Lunch Today","Just a reminder, we're having a team lunch at 12:30 PM in the cafeteria. See you all there!",junior,E009
2024-11-09 11:01:58,2,0,0,external,1,0,"Feedback on Design Mockups","Hi Mikael, The design mockups look great overall. A few minor adjustments are needed in the color scheme. Let's schedule a quick call to review these changes.",senior,E003
2024-11-09 11:22:41,1,0,0,internal,2,20,"Follow-up on Task Completion","Hi Lisa, Can you update me on the status of the report you were working on? We need it for the client meeting this afternoon.",manager,E002
2024-11-09 11:50:15,8,0,0,internal,4,12,"Performance Metrics for Q3","Attached are the performance metrics for Q3. Let’s go over this during our meeting later today. Please review in advance and bring any questions you have.",senior,E006
2024-11-09 12:35:05,2,0,1,external,1,0,"Partnership Inquiry","Dear Taidot On team, I’m reaching out to explore potential partnership opportunities between our companies. Let me know a convenient time for a discussion.",external,E010
2024-11-09 13:10:28,3,0,0,internal,3,33,"Client Feedback","We received some constructive feedback from the client regarding the recent software update. I’ve summarized the key points in the attached document.",mid-level,E001
2024-11-09 13:45:55,1,1,0,external,1,0,"Invoice Clarification Needed","Hi, We noticed a discrepancy in the recent invoice. Could you please clarify the additional charges listed?",external,E012
2024-11-09 14:15:21,1,0,0,internal,1,0,"Update on CRM Outage","The CRM system issue has been resolved. You can now resume normal operations. Apologies for any inconvenience caused.",senior,E002
2024-11-09 14:50:37,6,0,0,internal,2,25,"Brainstorming Session Ideas","I wanted to share some initial ideas for the upcoming brainstorming session. Feel free to add your thoughts and suggestions to the shared document.",junior,E009
